id_venta,producto,fecha_venta,cantidad,precio_unitario_bs,metodo_pago,cliente,descuento_aplicado,turno,empleado,nivel_satisfaccion,total_bs,tasa_dolar_bs
43,Francés,2023-11-09,4,76.89,nan,Luis Ángel Calatayud Torrecilla,False,Noche,Juan José,Alto,307.56,47.96
44,De leche,2023-09-12,2,14.33,nan,Adriana Puerta Galiano,False,Noche,Juan José,Medio,28.66,54.75
45,Francés,2023-04-23,2,91.26,Tarjeta,Román Rosselló Galán,True,Mañana,Cleto,Alto,164.27,70.15
46,Pan de jamón,2023-12-02,2,86.7,Tarjeta,Chelo Baró-Alvarado,False,Tarde,Severo,Bajo,173.4,56.75
47,Canilla,2023-10-08,2,70.1,nan,Octavio del Hernando,False,Mañana,Odalys,Medio,140.2,52.28
48,Golfio,2023-03-24,4,63.39,Pago movil,Encarnación Sanz Pedraza,False,Mañana,Severo,Alto,253.56,60.62
49,Golfiao,2023-04-28,5,90.31,nan,Manuelita Carbonell-Romero,False,Mañana,Rosaura,Alto,451.55,47.71
50,Canlla,2023-01-23,2,26.68,Pago móvil,Francisca Castilla Barroso,False,Mañana,odalys,Alto,53.36,62.86
51,De leche,2023-01-15,4,17.11,nan,Carmen Rodrigo,False,Tarde,Cleto,Muy alto,68.44,62.05
52,Cachito,2023-03-12,3,31.56,Divisas,Lope Cortés Gonzalo,False,Noche,Severo,Alto,94.68,69.22
53,De leche,2023-10-27,3,81.51,Pago móvil,Belen Rosa Bonet,True,Mañana,Trinidad,Alto,220.08,75.6
54,Mojicón,2023-08-05,1,13.12,Efectivo,Juan Francisco Bonet,False,Tarde,Trinidad,Muy bajo,13.12,53.58
55,Golfiao,2023-01-04,3,62.45,Efectivo,Dalila Rovira Zabala,True,Tarde,Ulises,Alto,168.62,61.9
56,De leche,2023-01-29,2,99.59,Divisas,Nereida Jordá Casanovas,False,Mañana,Rogelio,Muy bajo,199.18,74.67
57,Francés,2023-11-23,2,87.01,nan,Nazaret Ariza Tovar,False,Tarde,Ulises,Alto,174.02,71.3
58,Francés,2023-03-31,2,56.93,Tarjeta,Esperanza Cases-Morata,True,Mañana,Rosaura,Medio,102.47,62.4
59,Francés,2023-06-26,1,15.73,Divisas,Beatriz del Blazquez,True,Tarde,Severo,Alto,14.16,77.27
60,Canilla,2023-08-14,4,84.82,Pago móvil,José Antonio Rojas Porras,True,Tarde,Javiera,Medio,305.35,49.52
61,Canilla,2023-06-22,5,63.91,Pago móvil,Josep Criado Borrego,False,Mañana,Odalys,Alto,319.55,77.79
62,Francés,2023-08-12,5,20.34,Efectivo,Natanael Goicoechea Martorell,False,Mañana,Severo,Muy alto,101.7,49.93
63,Mojicón,2023-08-12,3,18.45,Pago móvil,Yéssica Gaya Catalá,False,Tarde,Odalys,Medio,55.35,66.33
64,Canilla,2023-01-24,1,91.87,Divisas,Pastora del Quero,True,Noche,Rogelio,Muy alto,82.68,77.93
65,Francés,2023-12-17,4,70.23,Pago móvil,Florencia Saura Nogueira,True,Mañana,Trinidad,Medio,252.83,57.82
66,Golfiao,2023-12-07,3,84.64,Divisas,Amador Aparicio Garriga,True,Tarde,Ulises,Alto,228.53,65.08
67,Francés,2023-07-13,2,89.11,Tarjeta,Hernando Cámara Solsona,True,Tarde,Trinidad,Muy alto,160.4,60.57
68,Mojicón,2023-10-29,3,61.46,Efectivo,Azeneth Pedraza Jordá,False,Noche,Rogelio,Medio,184.38,81.9
69,Francés,2023-05-24,4,56.57,Pago móvil,Cecilia Cuesta Blanes,False,Noche,Rogelio,Muy alto,226.28,78.07
70,De leche,2023-12-20,3,48.74,Divisas,Inés del Costa,False,Tarde,Ulises,Bajo,146.22,74.66
71,Cachito,2023-11-16,3,38.53,nan,Francisco Jose Piñeiro Saavedra,True,Tarde,Rogelio,Muy bajo,104.03,70.98
72,Criolo,2023-01-31,5,49.11,Tarjta,Prudencio Diez Osuna,False,Noche,Javiera,Muy alto,245.55,79.36
73,Francés,2023-05-13,1,79.65,Tarjeta,Joaquina Sancho Muñoz,False,Mañana,Javiera,Bajo,79.65,65.09
74,Mojicón,2023-12-27,4,64.17,Divisas,Fabricio Morata Robledo,False,Mañana,Juan José,Muy alto,256.68,67.39
75,Cachito,2023-09-21,6,90.33,Tarjeta,Fátima Mateo Chamorro,False,Mañana,Juan José,Muy alto,541.98,77.6
76,Cachito,2023-11-22,2,49.9,Tarjeta,Amado Pastor Laguna Sanjuan,True,Noche,Javiera,Bajo,89.82,65.02
77,Cachito,2023-07-23,2,64.64,Pago móvil,Luis Miguel Miró Ferrán,False,Noche,Cleto,Alto,129.28,55.05
78,Francés,2023-05-21,4,66.82,Pago móvil,Hipólito Nicolás Montaña,False,Mañana,Trinidad,Bajo,267.28,55.73
79,Canilla,2023-12-29,2,63.25,Divisas,Rosaura Ferrera,False,Tarde,Odalys,Medio,126.5,57.51
80,Francés,2023-03-04,2,73.24,nan,Carmina Rivas,False,Tarde,Trinidad,Bajo,146.48,84.83
81,Mojicón,2023-08-30,3,31.37,Divisas,Lorenzo Erasmo Borja Aparicio,False,Mañana,Rosaura,Medio,94.11,71.0
82,Pan de jamón,2023-11-15,3,56.11,nan,Marianela Fernandez,False,Noche,Rogelio,Medio,168.33,80.11
83,Canilla,2023-01-24,4,19.38,Tarjeta,Mirta Torrecilla Benavides,False,Mañana,Trinidad,Medio,77.52,68.9
84,Francés,2023-04-15,2,44.61,Efectivo,Cirino Caparrós Méndez,False,Mañana,Rogelio,Muy alto,89.22,64.37
85,Canilla,2023-04-09,4,53.89,Divisas,Leopoldo de Abascal,False,Tarde,Trinidad,Alto,215.56,67.98
86,Canilla,2023-09-19,3,68.7,Divisas,Claudio Duque Mosquera,False,Tarde,Javiera,Alto,206.1,84.88
87,Cachito,2023-07-03,3,95.55,nan,Diego Mariscal Higueras,False,Mañana,Ulises,Alto,286.65,79.06
88,Pan de jamón,2023-11-21,7,64.06,Tarjeta,Felipe Iborra González,True,Tarde,Rosaura,Alto,403.58,91.17
89,Mojicón,2023-02-23,4,76.92,Tarjeta,Aránzazu Flores,False,Tarde,Javiera,Medio,307.68,81.96
90,Canilla,2023-07-11,4,55.56,nan,Salvador Maximiano Escamilla Dávila,False,Mañana,Trinidad,Alto,222.24,78.25
91,Francés,2023-12-12,3,67.07,Tarjeta,Chema Osuna Redondo,False,Mañana,Ulises,Muy alto,201.21,80.19
92,Cachito,2023-04-08,5,16.38,Pago móvil,Paco de Pons,False,Tarde,Trinidad,Medio,81.9,93.3
93,Cachito,2023-08-04,1,32.9,Efectivo,Emiliano Olmedo-Llobet,False,Mañana,Trinidad,Alto,32.9,87.87
94,Golfiao,2023-08-14,3,42.57,Divisas,Rita Alemany-Cabanillas,True,Noche,Odalys,Alto,114.94,58.83
95,Cachito,2023-08-26,2,52.52,Efectivo,Victoriano Farré Galan,False,Noche,Severo,Muy alto,105.04,78.92
96,Canilla,2023-11-14,4,14.11,Divisas,Alicia Cruz Tamayo,True,Noche,Ulises,Alto,50.8,85.35
97,Golfiao,2023-02-19,3,22.6,Pago móvil,Inmaculada Abascal Leon,False,Mañana,Trinidad,Medio,67.8,88.15
98,Canilla,2023-03-10,2,34.91,Tarjeta,Roberto Juárez Polo,True,Noche,Javiera,Medio,62.84,67.5
99,Francés,2023-03-31,2,97.44,nan,Amor Narváez-Morcillo,False,Tarde,Odalys,Muy bajo,194.88,93.74
100,Francés,2023-12-21,4,39.82,Pago móvil,Rosenda Sarabia Ordóñez,False,Mañana,Cleto,Alto,159.28,97.74
101,Francés,2023-07-20,2,53.38,Efectivo,Úrsula Caballero,False,Mañana,Ulises,Muy bajo,106.76,69.47
102,Pan de jamón,2023-11-19,2,27.65,nan,Jenny de Olivé,False,Mañana,Odalys,Muy alto,55.3,95.78
103,Canilla,2023-06-07,3,64.97,Tarjeta,Ester Emperatriz Hernández Miró,False,Tarde,Javiera,Bajo,194.91,64.52
104,Golfiao,2023-12-08,1,35.26,Pago móvil,Andrea Batalla Jordán,False,Tarde,Trinidad,Bajo,35.26,63.16
105,De leche,2023-06-30,4,28.63,nan,Poncio Hernández Cases,False,Mañana,Rogelio,Medio,114.52,66.47
106,Francés,2023-05-15,4,56.49,Pago móvil,Lucila Narváez,True,Tarde,Trinidad,Alto,203.36,63.87
107,Canilla,2023-07-06,2,10.5,Pago móvil,Toribio Bru Coll,False,Mañana,Rogelio,Bajo,21.0,96.61
108,Cachito,2023-09-12,3,10.69,Tarjeta,Marta Crespo Pi,True,Tarde,Severo,Medio,28.86,64.54
109,Francés,2023-08-31,4,29.72,Divisas,Mar Luz Escrivá Ferrando,False,Mañana,Odalys,Medio,118.88,73.7
110,Francés,2023-02-05,3,13.3,nan,Evelia del Paredes,False,Noche,Severo,Medio,39.9,67.04
111,Francés,2023-02-27,4,19.72,Tarjeta,Hermenegildo Bru Camino,False,Noche,Trinidad,Bajo,4680.160210183614,75.41
112,Francés,2023-04-01,3,40.5,Pago móvil,Candelaria Cid Abascal,False,Tarde,Odalys,Alto,121.5,67.12
113,De leche,2023-12-23,1,82.23,Tarjeta,Octavia Agustín,False,Mañana,Juan José,Alto,82.23,91.92
114,Mojicón,2023-06-23,2,61.48,Divisas,Marcial del Beltran,True,Mañana,Javiera,Muy bajo,110.66,69.58
115,Pan de jamón,2023-11-13,2,56.14,nan,Rafa de Echevarría,False,Noche,Odalys,Alto,112.28,100.66
116,Mojicón,2023-05-30,2,36.41,Divisas,Delfina Jimenez-Perera,False,Mañana,Javiera,Muy alto,72.82,99.64
117,Mojicón,2023-04-19,2,93.86,Efectivo,Valeria Cáceres-Martín,False,Mañana,Rogelio,Alto,187.72,65.39
118,Francés,2023-03-07,1,45.73,nan,Jimena Camps Gutiérrez,False,Mañana,Rosaura,Alto,45.73,103.97
119,Mojicón,2023-08-09,3,17.84,Divisas,Agustina Vera Verdejo Vera,False,Tarde,Ulises,Muy alto,53.52,66.66
120,Golfiao,2023-07-09,2,65.54,Pago móvil,Aurelio Villanueva Santana,False,Tarde,Rosaura,Muy alto,131.08,76.2
121,Mojicón,2023-04-26,4,20.25,nan,Raimundo Padilla,False,Noche,Trinidad,Alto,81.0,67.43
122,Mojicón,2023-09-27,3,41.07,nan,Leonel Crespi Quero,False,Mañana,Ulises,Medio,123.21,81.14
123,Canilla,2023-07-27,3,55.67,Tarjeta,Álvaro Carranza Novoa,False,Mañana,Ulises,Alto,167.01,89.42
124,Francés,2023-07-29,1,88.68,Pago móvil,Herberto Salvà Caro,True,Noche,Cleto,Alto,79.81,102.43
125,Francés,2023-02-13,2,54.42,Efectivo,Mirta Mateu Cepeda,False,Noche,Ulises,Bajo,108.84,82.34
126,Canilla,2023-09-16,2,73.2,Divisas,Clarisa Sierra Luís,False,Mañana,Trinidad,Medio,146.4,99.25
127,Mojicón,2023-11-11,4,99.35,Tarjeta,Emiliano Pujadas Barreda,False,Tarde,Rosaura,Alto,397.4,76.28
128,Mojicón,2023-11-29,2,21.83,Divisas,Adelaida Valentín,True,Mañana,Rogelio,Alto,39.29,102.18
129,Francés,2023-02-09,3,34.73,Efectivo,Andrés Felipe Salamanca Mayol,False,Noche,Javiera,Medio,104.19,79.16
130,Golfiao,2023-07-21,3,45.51,Efectivo,Azahar Peláez-Garrido,False,Mañana,Trinidad,Alto,136.53,75.27
131,Canilla,2023-11-18,4,47.96,nan,Lola Tovar-Benavides,False,Noche,Ulises,Bajo,191.84,77.53
132,Francés,2023-07-25,5,46.99,Efectivo,Roberto Iñiguez Céspedes,False,Tarde,Trinidad,Medio,234.95,77.71
133,Francés,2023-01-25,1,91.68,Divisas,Dan Cruz Pons,True,Tarde,Rogelio,Alto,82.51,93.4
134,Canilla,2023-02-07,3,74.26,Pago móvil,Nydia Valverde Aguilera,False,Mañana,Trinidad,Medio,222.78,109.27
135,De leche,2023-01-28,2,64.71,Pago móvil,Félix Díez-Sola,False,Tarde,Rogelio,Bajo,129.42,73.93
136,Canilla,2023-04-07,4,37.84,nan,Rosa Pi Salamanca,False,Tarde,Ulises,Muy alto,151.36,103.73
137,Golfiao,2023-04-14,2,84.14,Divisas,Teodora Sevillano Farré,False,Mañana,Rogelio,Medio,168.28,101.69
138,Cachito,2023-07-18,2,95.96,Divisas,Encarna Estrada Beltrán,True,Tarde,Ulises,Medio,172.73,112.46
139,Canilla,2023-03-18,3,83.91,Efectivo,Guiomar Rodríguez Abril,False,Noche,Cleto,Muy alto,251.73,83.02
140,De leche,2023-11-13,3,10.14,Divisas,Ezequiel Benet,True,Tarde,Cleto,Alto,27.38,93.22
141,De leche,2023-07-06,1,67.28,Tarjeta,Valentín Belda Mariscal,False,Tarde,Rogelio,Alto,67.28,116.44
142,Francés,2023-03-22,2,14.6,Efectivo,Candelaria Abril-Chaves,False,Mañana,Cleto,Muy alto,29.2,104.11
143,Canilla,2023-06-15,5,33.18,Tarjeta,Micaela Cortés Pina,False,Tarde,Javiera,Bajo,165.9,91.42
144,Canilla,2023-08-18,4,15.36,nan,Manuel Gibert Alcalá,False,Mañana,Javiera,Alto,61.44,79.29
145,Francés,2023-03-24,1,64.34,Pago móvil,Haydée Ana Belén Miguel Pombo,False,Tarde,Cleto,Alto,64.34,86.01
146,Francés,2023-07-22,2,71.79,nan,Marisela Mireia Puga Reig,False,Noche,Cleto,Alto,143.58,101.98
147,Pan de jamón,2023-12-04,1,20.3,Pago móvil,Antonia Felipa Bermudez Roda,False,Tarde,Juan José,Alto,20.3,109.13
148,Golfiao,2023-11-28,3,44.55,nan,Concha Baró,False,Mañana,Juan José,Alto,133.65,80.25
149,Canlla,2023-02-21,2,51.06,Divisas,Bartolomé del Morán,False,Mañana,ulises,Medio,102.12,104.14
150,Francés,2023-02-26,3,43.21,Tarjeta,Arsenio Frutos Rojas,True,Tarde,Rogelio,Medio,116.67,102.11
151,De leche,2023-11-13,5,20.89,Pago móvil,Rolando Tomas Pulido,False,Tarde,Severo,Alto,104.45,100.7
152,Francés,2023-05-08,1,47.71,Efectivo,Marcia Folch Herranz,False,Noche,Severo,Alto,47.71,109.94
153,Francés,2023-05-07,3,77.61,Tarjeta,Josep Murillo Garriga,False,Noche,Cleto,Alto,232.83,117.81
154,Canilla,2023-01-18,3,16.39,Efectivo,Daniel Caballero Villalba,False,Tarde,Trinidad,Medio,49.17,92.24
155,De leche,2023-11-29,2,17.22,Tarjeta,Coral Duarte Diéguez,False,Mañana,Cleto,Alto,34.44,121.36
156,Francés,2023-02-24,1,41.93,Tarjeta,Jacobo Gimenez Valcárcel,True,Mañana,Juan José,Alto,37.74,84.69
157,Pan de jamón,2023-11-20,4,94.76,nan,Ángela Luque Villalobos,False,Mañana,Ulises,Alto,379.04,85.66
158,Cachito,2023-07-04,4,70.17,Pago móvil,Pastora Mesa Ramírez,False,Mañana,Cleto,Alto,280.68,90.81
159,Francés,2023-08-02,3,71.08,Pago móvil,Celestina Lerma Rocha,False,Tarde,Rosaura,Muy alto,213.24,83.57
160,Cachito,2023-08-17,1,42.57,Tarjeta,Ángeles Arce Cózar,True,Tarde,Trinidad,Alto,38.31,89.63
161,Canilla,2023-06-25,2,63.43,Divisas,Bienvenida Eligia Salas Barral,False,Tarde,Rosaura,Alto,126.86,83.53
162,Pan de jamón,2023-12-21,3,10.91,Divisas,Iker Benavides Azorin,False,Mañana,Ulises,Alto,32.73,121.2
163,Pan de jamón,2023-11-01,6,67.25,Efectivo,Mar Marín Sanmartín,False,Mañana,Ulises,Muy alto,403.5,85.88
164,Golfiao,2023-02-02,3,92.2,Efectivo,Judith del Bou,True,Mañana,Javiera,Alto,248.94,118.21
165,Francés,2023-06-25,4,65.13,nan,Jennifer del Salom,False,Mañana,Odalys,Alto,260.52,81.73
166,Mojicón,2023-05-05,3,88.63,Tarjeta,Teodoro Bellido Osuna,False,Noche,Rosaura,Alto,265.89,129.77
167,Canilla,2023-05-15,3,75.16,Efectivo,Adora del Blázquez,False,Mañana,Javiera,Alto,225.48,117.63
168,Francés,2023-11-23,6,20.85,Efectivo,Amando Villalobos Villanueva,False,Tarde,Juan José,Medio,125.1,80.46
169,Francés,2023-09-18,5,91.22,Tarjeta,Chus Prudencia Naranjo Carro,False,Mañana,Trinidad,Medio,456.1,121.34
170,Golfiao,2023-08-13,3,15.98,nan,Mariano Viña-Esteban,False,Noche,Trinidad,Muy alto,47.94,108.36
171,Pan de jamón,2023-12-11,1,58.06,Efectivo,Loida Planas Figueroa,True,Tarde,Trinidad,Alto,52.25,123.09
172,Francés,2023-09-13,4,22.79,nan,Emilio Berenguer Gallart,False,Mañana,Rogelio,Alto,91.16,109.62
173,Golfiao,2023-11-05,3,11.05,Pago móvil,Paulina del Guardia,False,Tarde,Juan José,Muy alto,33.15,116.47
174,Francés,2023-11-11,4,47.98,nan,Charo Pombo Porras,False,Tarde,Juan José,Alto,191.92,124.83
175,Pan de jamón,2023-12-28,2,36.55,Divisas,Nélida Villalonga-Vives,True,Noche,Trinidad,Alto,65.79,104.4
176,Francés,2023-08-13,2,53.74,Divisas,Isaías Cornejo Tormo,True,Mañana,Rosaura,Alto,96.73,82.65
177,Pan de jamón,2023-11-26,6,61.95,nan,Pepito Riera,False,Noche,Odalys,Alto,371.7,129.72
178,Canilla,2023-12-25,4,13.94,Divisas,Maite Corbacho-Sierra,False,Noche,Rosaura,Bajo,55.76,104.2
179,De leche,2023-07-12,5,21.07,Pago móvil,Hernán Garcés Vélez,False,Noche,Trinidad,Medio,105.35,110.98
180,Francés,2023-11-17,3,60.28,Tarjeta,Eduardo Galán-Espejo,False,Tarde,Rogelio,Medio,180.84,84.13
181,Canilla,2023-01-12,2,40.89,Divisas,Flora Belmonte Alarcón,False,Tarde,Rosaura,Medio,81.78,111.56
182,Francés,2023-01-24,2,75.63,Divisas,Serafina Canales Alcaraz,False,Tarde,Severo,Alto,151.26,139.74
183,De leche,2023-12-02,1,68.71,nan,Clara Barrio Mata,False,Tarde,Rosaura,Medio,68.71,100.29
184,Mojicón,2023-04-13,1,86.1,Pago móvil,Remedios Pacheco Company,False,Tarde,Ulises,Bajo,86.1,107.28
185,Francés,2023-06-07,4,72.32,Tarjeta,Florencia Goñi Peña,False,Tarde,Javiera,Medio,289.28,124.23
186,Pan de jamón,2023-12-27,4,48.69,nan,Fermín Balaguer,True,Tarde,Trinidad,Bajo,175.28,131.94
187,Mojicón,2023-05-23,5,70.57,nan,Samuel Tudela Aragón,False,Tarde,Rosaura,Alto,352.85,109.67
188,Golfiao,2023-12-22,3,34.78,Pago móvil,Filomena Mulet,False,Noche,Odalys,Muy alto,104.34,103.87
189,Golfiao,2023-11-05,5,37.57,Tarjeta,Silvia Llano,False,Mañana,Odalys,Alto,187.85,140.42
190,Francés,2023-05-03,2,81.01,Pago móvil,Magdalena Duarte Velázquez,False,Noche,Rosaura,Medio,162.02,125.84
191,Francés,2023-03-15,3,50.18,Tarjeta,Agustín Robles Talavera,False,Tarde,Cleto,Bajo,150.54,93.9
192,Mojicón,2023-03-15,1,81.85,Pago móvil,Amado Vizcaíno-Folch,False,Noche,Juan José,Medio,81.85,91.31
193,De leche,2023-04-23,6,84.02,nan,Perlita Gual Castrillo,False,Tarde,Rosaura,Alto,504.12,115.84
194,Pan de jamón,2023-11-28,3,87.18,nan,Emigdio de Santana,False,Mañana,Juan José,Medio,261.54,100.8
195,Canilla,2023-02-27,3,92.5,Efectivo,Nicolasa Tejedor Antúnez,False,Noche,Severo,Alto,277.5,103.13
196,Canilla,2023-02-12,4,48.79,Divisas,Nacho Pina Salom,False,Mañana,Trinidad,Medio,195.16,140.28
197,Cachito,2023-09-22,3,38.7,Pago móvil,Máxima Segarra Benavent,True,Noche,Severo,Alto,104.49,94.1
198,Mojicón,2023-06-12,7,62.4,Efectivo,Marcial de Tejada,True,Tarde,Rosaura,Medio,393.12,131.59
199,Mojicón,2023-07-09,3,43.41,Divisas,Valentina Figueroa-Galindo,False,Tarde,Odalys,Medio,130.23,105.56
200,Cachito,2023-04-29,3,64.1,Pago móvil,Ágata Rosa Dávila,False,Mañana,Cleto,Alto,192.3,135.17
201,Pan de jamón,2023-11-28,3,73.5,Tarjeta,Ligia Blanch Osorio,False,Tarde,Rogelio,Medio,220.5,133.34
202,Francés,2023-04-16,4,71.96,Divisas,Genoveva Cobo Gomila,False,Mañana,Juan José,Bajo,1973.7704670616426,90.74
203,Francés,2023-02-16,4,43.71,nan,Evangelina Larrañaga-Ibañez,False,Mañana,Javiera,Alto,174.84,121.35
204,Mojicón,2023-03-06,4,25.02,Efectivo,Toribio Donaire Colom,False,Mañana,Juan José,Alto,100.08,99.34
205,Pan de jamón,2023-11-03,7,48.75,Divisas,Elena Noguera-Molina,False,Mañana,Ulises,Alto,341.25,143.87
206,Francés,2023-07-10,2,22.83,Divisas,Jessica Pujadas Solís,False,Noche,Trinidad,Medio,45.66,144.67
207,Francés,2023-04-28,3,90.11,nan,Sebastián Hipólito Izquierdo Castell,False,Noche,Rosaura,Medio,270.33,117.4
208,Pan de jamón,2023-11-27,2,41.13,Pago móvil,Bernardo Contreras-Quesada,False,Mañana,Severo,Medio,82.26,119.39
209,Francés,2023-07-25,3,23.9,Tarjeta,Silvio Méndez,False,Tarde,Javiera,Bajo,71.7,111.08
210,Francés,2023-04-01,4,12.29,nan,Bernardino Neira Saez,False,Mañana,Odalys,Muy alto,49.16,136.99
211,Golfiao,2023-02-05,4,68.12,Tarjeta,Iris Rueda Valenciano,True,Tarde,Odalys,Alto,245.23,115.24
212,Pan de jamón,2023-11-20,3,67.32,Pago móvil,Edu Pellicer-Feijoo,False,Noche,Odalys,Medio,201.96,109.96
213,Pan de jamón,2023-12-16,2,40.65,Divisas,Reynaldo Font Céspedes,False,Noche,Rogelio,Alto,81.3,120.57
214,Francés,2023-04-12,5,16.45,Tarjeta,Fermín Heredia,False,Tarde,Ulises,Medio,82.25,99.63
215,Cachito,2023-11-18,2,46.87,Efectivo,Ámbar Torrents Salazar,False,Tarde,Odalys,Muy alto,93.74,141.09
216,Francés,2023-02-09,3,38.01,Efectivo,Ana Sofía Pineda Torrens,False,Mañana,Odalys,Bajo,114.03,95.29
217,Canilla,2023-12-15,3,70.94,nan,Eutimio Vizcaíno-Bermejo,False,Noche,Rosaura,Muy bajo,212.82,135.53
218,Cachito,2023-12-28,3,64.52,Pago móvil,Aura Macías Zapata,False,Mañana,Ulises,Alto,193.56,106.69
