ID_Venta,Marca,Tipo_Ropa,Color,Talla,Material,Género,Precio (USD),Cantidad,Cliente,Método_Pago,Fecha_Venta,Descuento (%),Calidad,Total_Venta (USD)
79,Zara,Camisa,Morado,L,Lana,Femenino,92.38,1,Áurea Vendrell,Transferencia,2023-03-18,0,Media,92.38
80,Mango,Jogger,Azul,XL,Mezclilla,Masculino,94.12,3,Baltasar Aguado-Santana,Pago móvil,2023-03-04,0,Premium,282.36
81,Nike,Vestido,Morado,XL,Mezclilla,Masculino,81.76,2,Concepción Aguilera Pedraza,Pago móvil,2023-01-02,10,Alta,147.17
82,Mango,Chaqueta,Morado,XL,Algodón,Femenino,93.8,3,Agustín Jover Iñiguez,Tarjeta,2023-10-26,15,Premium,239.19
83,H&M,Jogger,Morado,M,Algodón,Masculino,102.74,1,Paulino del Escrivá,Tarjeta,2023-02-10,0,Premium,102.74
84,Zara,Chaqueta,Gris,L,Seda,Femenino,76.72,2,Aureliano Bayo Español,Transferencia,2023-06-18,5,Media,145.77
85,H&M,Leggins,Rojo,M,Lana,Masculino,17.92,3,Pelayo Roig Bonet,Pago móvil,2023-06-19,0,Media,53.76
86,H&M,Jogger,Marrón,XS,Mezclilla,Masculino,62.61,3,Olalla del Alcalá,Efectivo,2023-11-26,20,Alta,150.26
87,Pull&Bear,Camisa,Rosado,XL,Seda,Unisex,16.7,3,Celestino Manu Ortega Hurtado,Divisas,2023-01-24,0,Media,50.1
88,Zara,Chaqueta,Verde,M,Seda,Femenino,53.64,2,Agapito Darío Cuervo Valero,Pago móvil,2023-06-18,0,Media,107.28
89,H&M,Short,Beige,M,Poliéster,Femenino,53.6,2,Luís Muro Melero,Pago móvil,2023-02-09,0,Media,107.2
90,Pull&Bear,Camisa,Rojo,XS,Sintético,Femenino,15.39,1,José Luis Martin Vilaplana,Tarjeta,2023-11-30,0,Media,15.39
91,Pull&Bear,Jogger,Blanco,S,Algodón,Femenino,47.07,2,Geraldo Noé Larrea Torrent,Divisas,2023-08-25,0,Media,94.14
92,Zara,Camisa,Marrón,L,Lana,Femenino,20.43,2,Horacio Azcona Valero,Transferencia,2023-06-23,15,Media,34.73
93,Levi's,Chaqueta,Azul,S,Mezclilla,Unisex,98.52,3,Natividad Perales Agustí,Pago móvil,2023-10-09,0,Media,295.56
94,Tommy Hilfiger,Pantalón de vestir,Azul,XL,Seda,Femenino,114.14,2,Pilar Zaira Santamaria Barranco,Transferencia,2023-09-05,0,Media,228.28
95,Nike,Chaqueta,Morado,M,Mezclilla,Femenino,16.1,3,Jordana Villalobos Gutierrez,Pago móvil,2023-11-05,0,Media,48.3
96,Tommy Hilfiger,Chaqueta,Rojo,XS,Poliéster,Masculino,114.97,3,Urbano Linares Quirós,Transferencia,2023-02-11,0,Media,344.91
97,Mango,Leggins,Amarillo,XS,Lana,Femenino,66.53,2,Eliseo Mármol Salas,Divisas,2023-07-05,0,Alta,133.06
98,Nike,Pantalón corto,Negro,L,Seda,Masculino,41.55,1,Aristides Antón Chamorro,Tarjeta,2023-05-14,0,Baja,41.55
99,Mango,Short,Blanco,S,Mezclilla,Femenino,16.61,1,Estefanía Vallés,Divisas,2023-11-30,0,Media,16.61
100,H&M,Blusa,Azul,L,Algodón,Femenino,64.07,2,Dolores Español Domínguez,Efectivo,2023-01-16,0,Alta,128.14
101,Bershka,Vestido,Verde,M,Sintético,Femenino,96.99,1,Noé Fabra Chaves,Tarjeta,2023-11-18,0,Media,96.99
102,Zara,Jeans,Azul,L,Poliéster,Femenino,87.19,3,Vilma Cabañas Larrea,Divisas,2023-07-06,5,Media,248.49
103,Nike,Pantalón corto,Beige,XS,Lana,Unisex,13.63,3,Agustina Galindo Barrena,Efectivo,2023-03-27,10,Alta,36.8
104,Nike,Jeans,Rosado,XS,Poliéster,Femenino,16.17,2,Tere Cantón Plana,Pago móvil,2023-12-07,0,Media,32.34
105,H&M,Leggins,Azul,XL,Algodón,Masculino,53.12,1,Jordán Moreno Castellanos,Pago móvil,2023-02-16,0,Alta,53.12
106,Levi's,Short,Beige,XL,Lana,Femenino,41.07,1,Mariano Figueras Sales,Transferencia,2023-09-20,0,Alta,41.07
107,Pull&Bear,Suéter,Rojo,M,Poliéster,Femenino,34.03,3,Flor Bayón Sáenz,Tarjeta,2023-09-24,0,Alta,102.09
108,H&M,Chaqueta,Rojo,S,Lino,Masculino,39.47,2,Baldomero Carro Ferrer,Pago móvil,2023-10-02,0,Media,78.94
109,Adidas,Suéter,Marrón,L,Algodón,Femenino,97.99,1,Tere de Pomares,Tarjeta,2023-03-02,0,Media,97.99
110,Pull&Bear,Suéter,Azul,M,Algodón,Masculino,112.07,2,Heriberto Perez Rius,Pago móvil,2023-08-27,0,Media,224.14
111,Zara,Falda,Verde,XL,Algodón,Unisex,53.37,1,Moreno del Cepeda,Transferencia,2023-11-10,0,Media,53.37
112,Pull&Bear,Suéter,Azul,L,Lino,Masculino,109.48,3,Oriana Rivas Abad,Divisas,2023-08-10,0,Media,328.44
113,Levi's,Vestido,Verde,XL,Lino,Unisex,44.01,3,Édgar Acero-Elorza,Transferencia,2023-05-08,10,Media,118.83
114,Pull&Bear,Pantalón de vestir,Gris,L,Mezclilla,Femenino,61.36,2,Dani Hector Quesada Cabeza,Efectivo,2023-07-23,20,Media,98.18
115,Zara,Falda,Morado,S,Seda,Femenino,33.32,3,Natalio Barrera-Echeverría,Pago móvil,2023-06-28,0,Baja,99.96
116,Levi's,Leggins,Marrón,M,Sintético,Femenino,79.73,1,Dan Santamaria Águila,Efectivo,2023-05-14,0,Media,79.73
117,Tommy Hilfiger,Pantalón corto,Gris,L,Poliéster,Masculino,117.65,3,Bernardo Feliu Juan,Efectivo,2023-04-16,10,Media,317.66
118,Nike,Pantalón de vestir,Azul,XS,Mezclilla,Unisex,75.59,2,María José Teodora Neira Sancho,Tarjeta,2023-11-28,15,Alta,128.5
119,Nike,Camisa,Marrón,XS,Poliéster,Femenino,48.08,2,Juan Pablo Valentín-Cabeza,Pago móvil,2023-05-15,0,Baja,96.16
120,Mango,Jogger,Gris,L,Sintético,Masculino,80.56,2,Hector Pedraza Sedano,Efectivo,2023-10-26,0,Media,161.12
121,Tommy Hilfiger,Pantalón de vestir,Negro,L,Seda,Femenino,21.77,1,Amaro Haro Arjona,Divisas,2023-10-19,0,Premium,21.77
122,Tommy Hilfiger,Blusa,Azul,L,Lino,Masculino,107.53,1,Ana Sofía Silva,Efectivo,2023-09-10,0,Media,107.53
123,Pull&Bear,Suéter,Gris,XS,Seda,Femenino,64.35,1,Almudena Marcos Enríquez,Divisas,2023-07-23,0,Media,64.35
124,Nike,Leggins,Negro,XS,Lino,Unisex,58.33,1,Juan José Duque Hernández,Tarjeta,2023-08-08,0,Baja,58.33
125,Zara,Mono,Negro,L,Sintético,Masculino,73.62,1,Bernarda Carreño-Vila,Efectivo,2023-03-18,0,Alta,73.62
126,Stradivarius,Jogger,Rojo,XL,Seda,Femenino,77.98,3,Tristán Rebollo Baeza,Transferencia,2023-08-11,0,Media,233.94
127,Stradivarius,Jeans,Azul,XL,Mezclilla,Femenino,16.04,1,Coral Riera-Gaya,Tarjeta,2023-01-11,5,Media,15.24
128,Levi's,Vestido,Negro,S,Lana,Femenino,84.45,1,Simón Arce Falcón,Divisas,2023-01-19,0,Media,84.45
129,Nike,Jeans,Rojo,M,Mezclilla,Femenino,35.1,3,Cecilia Roman Villar,Tarjeta,2023-07-07,0,Alta,105.3
130,Nike,Pantalón de vestir,Gris,XL,Poliéster,Femenino,87.96,1,Joaquina Ayllón Lara,Efectivo,2023-03-12,0,Media,87.96
131,Stradivarius,Jeans,Beige,XS,Mezclilla,Masculino,100.12,2,Íñigo Domínguez-Vélez,Pago móvil,2023-09-17,0,Baja,200.24
132,Nike,Blusa,Azul,XL,Sintético,Masculino,98.04,1,Heraclio Mata Hidalgo,Pago móvil,2023-05-03,20,Alta,78.43
133,Pull&Bear,Leggins,Marrón,S,Algodón,Masculino,69.88,1,Delia Julián Fajardo,Divisas,2023-03-27,0,Media,69.88
134,Adidas,Camisa,Verde,S,Poliéster,Femenino,66.26,2,Jordán Ordóñez Oliver,Divisas,2023-07-30,0,Alta,132.52
135,Bershka,Pantalón corto,Verde,M,Seda,Masculino,24.0,2,Constanza Costa,Pago móvil,2023-12-12,5,Media,45.6
136,Tommy Hilfiger,Vestido,Gris,XL,Poliéster,Masculino,94.84,2,Borja Vargas Arcos,Divisas,2023-05-19,0,Alta,189.68
137,Mango,Blusa,Amarillo,XS,Lana,Femenino,38.4,2,Adoración de Murillo,Tarjeta,2023-02-19,15,Media,65.28
138,Levi's,Blusa,Amarillo,XS,Lino,Masculino,63.63,1,Ignacio de Nogueira,Transferencia,2023-01-17,0,Alta,63.63
139,Adidas,Jeans,Gris,L,Seda,Masculino,39.84,2,Pío Farré Matas,Transferencia,2023-11-04,0,Premium,79.68
140,Stradivarius,Suéter,Negro,XS,Poliéster,Femenino,22.99,2,Cosme del Barberá,Tarjeta,2023-12-19,0,Media,45.98
141,Tommy Hilfiger,Jeans,Azul,M,Seda,Femenino,78.51,3,Severo Ávila-Ramírez,Transferencia,2023-06-20,0,Media,235.53
142,Nike,Pantalón de vestir,Verde,M,Seda,Femenino,14.09,2,Leonardo Adalberto Mas Alcalá,Efectivo,2023-12-24,10,Media,25.36
143,Mango,Pantalón corto,Verde,XS,Seda,Femenino,91.85,2,Mamen Borja Saura,Tarjeta,2023-08-10,10,Media,165.33
144,Nike,Falda,Negro,XS,Lino,Unisex,43.57,3,Teodoro Montaña Vallés,Divisas,2023-05-22,0,Media,130.71
145,Zara,Jeans,Verde,L,Sintético,Masculino,8.02,3,Eugenio de Carrasco,Tarjeta,2023-05-29,0,Media,24.06
146,Zara,Leggins,Marrón,XS,Mezclilla,Masculino,65.25,1,Eligia Peñalver Berenguer,Pago móvil,2023-06-26,10,Media,58.72
147,Mango,Mono,Azul,L,Seda,Femenino,13.25,3,Eugenio Álamo Rico,Divisas,2023-10-13,15,Media,33.79
148,Mango,Vestido,Rosado,L,Algodón,Femenino,38.93,1,Dan Pizarro Valle,Pago móvil,2023-11-11,0,Media,38.93
149,Stradivarius,Chaqueta,Verde,XS,Sintético,Masculino,87.18,3,Anselma Guardia Llorens,Divisas,2023-04-22,0,Alta,261.54
150,Mango,Jeans,Gris,S,Lana,Masculino,15.02,3,Ani Patiño Vigil,Transferencia,2023-03-07,0,Baja,45.06
151,Pull&Bear,Leggins,Marrón,S,Lino,Femenino,102.01,1,Edelmiro Gascón Miralles,Tarjeta,2023-01-08,10,Baja,91.81
152,Nike,Leggins,Verde,L,Poliéster,Masculino,8.43,3,Julián Villa,Efectivo,2023-07-22,0,Media,25.29
153,Adidas,Vestido,Morado,XS,Lino,Masculino,35.64,1,Heriberto Porfirio Peinado Aguiló,Divisas,2023-12-24,0,Media,35.64
154,H&M,Falda,Marrón,S,Poliéster,Femenino,90.98,3,Emiliana Higueras,Divisas,2023-11-16,5,Media,259.29
155,Mango,Leggins,Rojo,XS,Lino,Femenino,43.42,2,Candela Álvarez Bermudez,Pago móvil,2023-08-15,0,Media,86.84
156,Levi's,Mono,Rosado,XS,Poliéster,Masculino,19.41,3,Armida Yáñez Santiago,Transferencia,2023-10-26,0,Media,58.23
157,Zara,Leggins,Blanco,XS,Seda,Femenino,48.35,1,Marta Suarez-Carbó,Pago móvil,2023-04-10,0,Alta,48.35
158,Pull&Bear,Leggins,Gris,XL,Mezclilla,Femenino,38.28,3,Raimundo González Dueñas,Pago móvil,2023-08-28,0,Baja,114.84
159,Tommy Hilfiger,Leggins,Gris,XS,Poliéster,Femenino,102.38,1,Roberta Borja Palomar,Transferencia,2023-10-25,0,Alta,102.38
160,H&M,Camisa,Azul,XL,Poliéster,Femenino,43.09,1,Beatriz Ríos Morata,Efectivo,2023-03-04,0,Alta,43.09
161,Adidas,Camisa,Marrón,L,Algodón,Masculino,96.36,2,Iker Luis Miguel Abellán Corral,Pago móvil,2023-12-09,0,Alta,192.72
162,H&M,Falda,Negro,S,Poliéster,Masculino,107.89,2,Jorge Piquer-Asensio,Pago móvil,2023-06-09,0,Premium,215.78
163,Mango,Jeans,Gris,S,Algodón,Femenino,56.59,1,Víctor Tormo Quintero,Divisas,2023-12-28,10,Baja,50.93
164,Stradivarius,Leggins,Marrón,S,Lana,Masculino,109.91,3,Eulalia Uriarte Calvet,Transferencia,2023-07-13,5,Media,313.24
165,Zara,Pantalón corto,Marrón,S,Seda,Masculino,50.26,1,Custodia del Lozano,Tarjeta,2023-11-04,0,Alta,50.26
166,Zara,Jeans,Morado,S,Algodón,Masculino,115.98,1,Marta Salud Peralta Alvarado,Efectivo,2023-10-28,0,Media,115.98
167,Tommy Hilfiger,Falda,Beige,S,Mezclilla,Femenino,18.0,3,Cristian Fiol Asenjo,Efectivo,2023-09-07,0,Media,54.0
168,Stradivarius,Suéter,Beige,S,Sintético,Femenino,84.95,3,Candelas Valencia Agullo,Transferencia,2023-04-18,0,Alta,254.85
169,Nike,Suéter,Blanco,L,Seda,Unisex,63.31,3,Elvira Daza Cerdá,Divisas,2023-02-04,0,Alta,189.93
170,Bershka,Short,Rojo,XS,Algodón,Masculino,51.42,3,Natalia Imelda Miralles Espejo,Divisas,2023-11-01,0,Premium,154.26
171,Pull&Bear,Jeans,Blanco,M,Seda,Femenino,78.86,1,Lino Torrent Aliaga,Transferencia,2023-04-09,0,Premium,78.86
172,Zara,Jeans,Verde,XL,Seda,Femenino,86.83,1,Juan Manuel Alegria Villaverde,Divisas,2023-01-31,0,Alta,86.83
173,Levi's,Jogger,Negro,M,Seda,Femenino,8.49,2,Alejandro Barco,Efectivo,2023-05-16,0,Media,16.98
174,Zara,Pantalón de vestir,Verde,M,Lana,Unisex,26.7,1,Fausto Ruano Arias,Efectivo,2023-07-03,0,Alta,26.7
175,H&M,Chaqueta,Amarillo,XS,Mezclilla,Masculino,87.86,3,Juan Antonio Ferreras Aguirre,Tarjeta,2023-05-01,0,Baja,263.58
176,Zara,Jogger,Verde,XS,Lino,Femenino,82.64,2,Jacinto de Arranz,Transferencia,2023-10-24,0,Media,165.28
177,Zara,Mono,Azul,XS,Lino,Femenino,116.2,3,Martín Sierra,Pago móvil,2023-10-29,0,Alta,348.6
178,Bershka,Camisa,Verde,S,Algodón,Masculino,93.24,1,Calisto Pombo,Pago móvil,2023-02-17,10,Media,83.92
179,Bershka,Camisa,Blanco,L,Seda,Masculino,114.49,2,Roxana Salomé Coronado Manrique,Tarjeta,2023-03-24,10,Media,206.08
180,Adidas,Pantalón de vestir,Gris,S,Algodón,Femenino,86.68,3,Ángel Aroca,Tarjeta,2023-03-27,0,Media,260.04
181,Nike,Vestido,Gris,L,Lana,Masculino,41.38,2,Serafina Cáceres Jerez,Divisas,2023-05-12,0,Alta,82.76
182,Levi's,Vestido,Beige,L,Lana,Unisex,19.8,2,Pastor Pascual-Aragón,Tarjeta,2023-05-09,0,Media,39.6
183,Zara,Falda,Negro,M,Poliéster,Femenino,95.56,1,Alma Galiano Jordá,Tarjeta,2023-08-02,0,Alta,95.56
184,Zara,Blusa,Negro,M,Lana,Masculino,80.14,3,Ariel Colom Belda,Pago móvil,2023-08-06,0,Media,240.42
185,Pull&Bear,Pantalón de vestir,Azul,L,Poliéster,Femenino,13.4,2,Isaías Guillen Méndez,Divisas,2023-05-10,10,Alta,24.12
186,Bershka,Chaqueta,Blanco,L,Mezclilla,Masculino,48.33,2,Belén Gálvez Miguel,Tarjeta,2023-08-09,0,Alta,96.66
187,Levi's,Jeans,Beige,S,Algodón,Masculino,115.16,3,Mamen Mata-Lastra,Tarjeta,2023-10-22,10,Media,310.93
188,Tommy Hilfiger,Vestido,Morado,S,Sintético,Masculino,64.04,2,Dafne Marín Pi,Divisas,2023-07-19,0,Media,128.08
189,Adidas,Chaqueta,Amarillo,M,Mezclilla,Masculino,56.47,2,Esmeralda Cerezo Tolosa,Transferencia,2023-12-20,0,Media,112.94
190,Nike,Leggins,Negro,XS,Lana,Femenino,59.26,2,Santiago Pujadas Perelló,Divisas,2023-02-20,5,Premium,112.59
191,Stradivarius,Blusa,Gris,L,Mezclilla,Unisex,31.39,3,Merche Bolaños Azorin,Pago móvil,2023-12-18,0,Alta,94.17
192,Nike,Pantalón corto,Verde,S,Mezclilla,Masculino,49.3,3,Florentino Fernandez Peinado,Transferencia,2023-08-19,0,Premium,147.9
